采集地点,任务描述,日报截屏上送总时长（小时）,原始上送总时长（小时）,运营端不合格总时长（小时）,算法端可接受总时长（小时）,记录数量,合格率
丰县,整理文件,45.85,57.28,10.98,44.22,14,80.83%
丰县,电池安装,52.0,54.71,20.29,27.380000000000003,12,62.91%
丰县,用抹布擦拭碗盘,49.32,54.02,10.14,39.95,11,81.23%
丰县,药箱收纳,45.76,53.93,8.57,25.82,10,84.11%
丰县,书本收纳,38.93,44.19,16.82,19.5,11,61.94%
丰县,整理零食、调料或玩具,36.22,44.14,13.69,27.740000000000002,14,68.99%
丰县,叠衣服,33.04,44.0,8.99,30.729999999999997,21,79.57%
丰县,穿鞋带,40.71,42.07,5.37,32.31,10,87.24%
丰县,整理洗漱用品,33.019999999999996,33.05,15.01,17.650000000000002,7,54.58%
丰县,收拾桌面,26.6,27.01,8.370000000000001,18.64,5,69.01%
丰县,整理鞋柜,19.25,18.88,4.01,11.4,6,78.76%
丰县,整理碗筷,20.23,17.2,9.67,7.53,5,43.78%
丰县,擦拭桌面小摆件,4.68,4.69,0.0,4.69,1,100.0%
丰县,分类坚果/豆子,3.25,3.26,0.18,3.08,1,94.48%
宁波,叠衣服,0.0,38.13,5.73,23.99,17,84.97%
宁波,用抹布擦拭碗盘,0.0,16.939999999999998,2.14,10.709999999999999,5,87.37%
宁波,穿鞋带,0.0,14.51,1.6600000000000001,11.34,5,88.56%
宁波,整理鞋柜,0.0,10.52,3.72,6.8,3,64.64%
宁波,收拾桌面,0.0,10.440000000000001,3.55,5.61,4,66.0%
宁波,整理零食、调料或玩具,0.0,8.24,0.52,7.720000000000001,2,93.69%
宁波,整理洗漱用品,0.0,8.03,1.63,6.3999999999999995,2,79.7%
宁波,整理文件,0.0,8.0,2.9699999999999998,1.9100000000000001,2,62.88%
宁波,书本收纳,0.0,7.77,1.34,6.42,3,82.75%
宁波,整理袜子,0.0,7.24,0.15000000000000002,4.99,4,97.93%
宁波,药箱收纳,0.0,6.46,0.43,5.85,3,93.34%
宁波,电池安装,0.0,6.01,1.68,2.15,2,72.05%
宁波,整理书籍,0.0,5.48,0.93,4.55,1,83.03%
宁波,整理鞋带,0.0,4.01,0.45,3.56,1,88.78%
宁波,叠衣服 ,0.0,1.02,0.05,0.96,1,95.1%
宁波,Fold and organize socks,0.0,0.97,0.0,0.67,1,100.0%
无地点,收拾桌面,0.0,107.96000000000001,4.38,92.37,21,95.94%
无地点,整理袜子,0.0,86.8,3.82,75.02,15,95.6%
无地点,药箱收纳,0.0,86.62,2.55,73.69,14,97.06%
无地点,分类坚果/豆子,0.0,71.29,2.86,67.89,12,95.99%
无地点,整理碗筷,0.0,70.12,7.97,45.8,10,88.63%
无地点,折叠购物袋,0.0,64.17,1.31,56.56,10,97.96%
无地点,整理零食、调料或玩具,0.0,63.82,2.02,45.71,12,96.83%
无地点,整理文件,0.0,63.17,1.26,49.03,13,98.01%
无地点,用抹布擦拭碗盘,0.0,63.09,2.8,57.730000000000004,12,95.56%
无地点,穿鞋带,0.0,57.52,2.61,53.53,12,95.46%
无地点,整理耳机线/数据线,0.0,51.12,0.6,43.82,9,98.83%
无地点,叠衣服,0.0,47.61,9.1,31.509999999999998,17,80.89%
无地点,整理洗漱用品,0.0,44.33,2.5500000000000003,32.99,9,94.25%
无地点,电池安装,0.0,37.38,3.6,29.53,7,90.37%
无地点,分拣晾晒衣物夹子,0.0,35.65,3.25,29.650000000000002,5,90.88%
无地点,书本收纳,0.0,33.0,2.32,27.49,12,92.97%
无地点,Organize cosmetic samples,0.0,32.03,1.66,27.17,5,94.82%
无地点,擦拭餐具,0.0,15.600000000000001,6.1,9.5,3,60.9%
无地点,整理书籍,0.0,14.990000000000002,5.050000000000001,9.940000000000001,3,66.31%
无地点,Fold shopping bags,0.0,8.01,0.0,6.25,3,100.0%
无地点,Fold and organize socks,0.0,7.84,0.05,7.18,4,99.36%
无地点,Sort nuts/beans,0.0,5.5,0.6699999999999999,4.83,2,87.82%
无地点,清洁手机,0.0,5.08,0.06,2.41,1,98.82%
无地点,Clean the phone,0.0,0.59,0.0,0.0,1,100.0%
无地点,分拣乐高/积木零件,0.0,0.27,0.0,0.24000000000000002,2,100.0%
无地点,整理名片/会员卡/银行卡,0.0,0.22000000000000003,0.0,0.22000000000000003,2,100.0%
无地点,Organize earphones/data cables,0.0,0.22,0.0,0.22,1,100.0%
河南,叠衣服,28.79,43.93,3.92,33.55,18,91.08%
河南,用抹布擦拭碗盘,18.65,38.8,4.35,24.49,8,88.79%
河南,分类坚果/豆子,15.120000000000001,26.36,8.49,12.98,5,67.79%
河南,整理碗筷,25.91,25.68,1.44,18.689999999999998,4,94.39%
河南,整理洗漱用品,20.3,25.4,5.75,15.14,7,77.36%
河南,收拾桌面,6.3999999999999995,23.11,1.87,10.28,7,91.91%
河南,电池安装,15.09,22.11,8.24,10.73,5,62.73%
河南,分拣乐高/积木零件,17.330000000000002,19.86,6.720000000000001,11.57,3,66.16%
河南,整理零食、调料或玩具,10.46,19.61,1.29,14.51,4,93.42%
河南,穿鞋带,15.44,18.2,0.38,17.810000000000002,4,97.91%
河南,药箱收纳,12.719999999999999,18.14,1.0,4.54,4,94.49%
河南,书本收纳,7.699999999999999,17.62,6.55,6.25,5,62.83%
河南,分拣晾晒衣物夹子,16.25,15.75,0.05,6.89,2,99.68%
河南,折叠购物袋,10.280000000000001,15.52,8.57,6.949999999999999,4,44.78%
河南,整理鞋柜,11.79,15.41,7.85,7.5600000000000005,3,49.06%
河南,整理耳机线/数据线,5.8,15.02,0.24,8.26,3,98.4%
河南,擦拭桌面小摆件,14.5,14.9,3.57,11.33,2,76.04%
河南,整理文件,10.11,13.04,0.52,12.52,2,96.01%
河南,整理袜子,4.43,9.809999999999999,2.89,6.92,2,70.54%
河南,Fold shopping bags,0.0,8.95,0.0,0.0,3,100.0%
河南,Fold and organize socks,0.0,5.9799999999999995,0.0,0.0,2,100.0%
河南,整理名片/会员卡/银行卡,2.03,5.23,0.6900000000000001,1.3800000000000001,2,86.81%
河南,Wipe small table ornaments,0.0,1.3,0.0,0.0,1,100.0%
河南,Organize business cards/membership cards/bank cards,0.0,0.67,0.0,0.0,1,100.0%
济宁,药箱收纳,30.599999999999998,28.839999999999996,0.03,18.75,6,99.9%
济宁,擦拭桌面小摆件,25.47,28.83,2.63,20.939999999999998,6,90.88%
济宁,用抹布擦拭碗盘,22.77,28.54,6.26,10.13,7,78.07%
济宁,整理名片/会员卡/银行卡,20.33,25.630000000000003,5.41,9.03,5,78.89%
济宁,书本收纳,20.82,25.18,9.47,11.22,5,62.39%
济宁,叠衣服,18.509999999999998,23.8,2.44,11.18,14,89.75%
济宁,分拣乐高/积木零件,22.73,23.41,0.93,16.97,5,96.03%
济宁,穿鞋带,20.4,23.11,3.09,16.810000000000002,6,86.63%
济宁,整理袜子,26.05,22.27,0.12,16.03,6,99.46%
济宁,电池安装,20.31,21.15,1.09,16.91,4,94.85%
济宁,分类坚果/豆子,15.13,20.08,4.49,12.3,4,77.64%
济宁,整理洗漱用品,10.14,19.19,2.41,7.0200000000000005,5,87.44%
济宁,折叠购物袋,20.25,19.17,0.04,19.13,4,99.79%
济宁,整理碗筷,15.14,17.39,2.73,12.99,3,84.3%
济宁,整理文件,21.79,16.43,2.82,8.32,5,82.84%
济宁,整理零食、调料或玩具,15.39,16.009999999999998,0.77,10.04,5,95.19%
济宁,Change the pillowcase,20.16,15.959999999999999,0.0,0.0,3,100.0%
济宁,Clean the phone,10.129999999999999,15.45,0.0,1.55,4,100.0%
济宁,Organize cosmetic samples,10.0,14.919999999999998,0.01,0.96,3,99.93%
济宁,分拣晾晒衣物夹子,10.17,12.65,0.0,0.6900000000000001,2,100.0%
济宁,收拾桌面,10.059999999999999,10.129999999999999,2.4,7.74,2,76.31%
济宁,Replace the garbage bag,10.09,9.280000000000001,0.09,3.72,2,99.03%
济宁,整理耳机线/数据线,10.16,7.38,0.37,2.05,2,94.99%
济宁,Fold and organize socks,5.04,6.300000000000001,0.03,2.6,3,99.52%
济宁,Organize the drawer,5.03,5.03,0.01,0.6,1,99.8%
济宁,Sort nuts/beans,0.0,4.47,0.0,0.0,1,100.0%
济宁,Organize earphones/data cables,0.0,3.57,0.0,0.0,1,100.0%
济宁,整理鞋柜,0.0,3.4,0.0,0.12,1,100.0%
济宁,Fold shopping bags,0.0,1.08,0.0,0.0,1,100.0%
深圳,整理碗筷,5.0,10.06,0.36000000000000004,9.7,2,96.42%
深圳,整理零食、调料或玩具,5.0,10.06,0.17,9.89,2,98.31%
深圳,整理鞋柜,5.0,10.03,0.1,9.93,2,99.0%
深圳,用抹布擦拭碗盘,5.0,10.02,0.02,10.0,2,99.8%
深圳,整理洗漱用品,10.0,10.01,0.21000000000000002,9.79,2,97.9%
深圳,整理袜子,0.0,5.27,0.0,2.66,1,100.0%
深圳,安装电池,0.0,5.06,0.12,4.94,1,97.63%
深圳,整理文档,0.0,5.01,0.01,5.0,1,99.8%
深圳,折叠购物袋,0.0,4.78,0.0,4.78,1,100.0%
深圳,叠衣服,0.0,0.16,0.03,0.11,2,81.25%
